algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	4	2.84	0.07	39	0.24	NA	NA	37	"0"
"ras"	"3"	2.36	2.87	0.9	38	NA	13	NA	21	"0"
"acs"	"3"	4.65	0.88	0.05	43	0.68	NA	NA	9	"0"
"acs"	"3"	4.16	6.93	0.21	60	0.8	NA	NA	41	"0"
"acs"	"3"	2.67	4.26	0.45	52	0.24	NA	NA	15	"0"
"acs"	"3"	4	9.51	0.12	43	0.45	NA	NA	11	"0"
"acs"	"3"	3.72	2.21	0.69	81	0.96	NA	NA	7	"1"
"acs"	"3"	3.47	9.01	0.68	54	0.27	NA	NA	32	"0"
"acs"	"3"	3.42	9.42	0.13	42	0.69	NA	NA	9	"0"
"acs"	"3"	1.42	3.54	0.81	44	0.89	NA	NA	17	"1"
"ras"	"3"	2.62	2.38	0.86	61	NA	14	NA	28	"0"
"acs"	"3"	2.75	6.78	0.54	52	0.33	NA	NA	38	"0"
"acs"	"3"	2.71	5.12	0.48	52	0.33	NA	NA	10	"0"
"acs"	"3"	3.02	7.58	0.36	47	0.28	NA	NA	12	"0"
"mmas"	"3"	2.84	2.67	0.12	20	NA	NA	NA	14	"0"
"acs"	"3"	3.27	4.33	0.1	43	0.45	NA	NA	25	"1"
"acs"	"3"	2.21	2.84	0.14	29	0.44	NA	NA	22	"0"
"acs"	"3"	3.59	6.43	0.18	51	0.61	NA	NA	17	"0"
"acs"	"3"	4.75	4.36	0.03	41	0.76	NA	NA	9	"0"
"acs"	"3"	3.69	5.15	0.06	40	0.14	NA	NA	11	"0"
"acs"	"3"	2.45	6.53	0.76	44	0.14	NA	NA	17	"0"
"acs"	"3"	3.11	9.47	0.49	52	0.44	NA	NA	11	"0"
"mmas"	"3"	2.91	3.64	0.12	20	NA	NA	NA	12	"0"
"ras"	"3"	2.4	2.9	0.93	46	NA	15	NA	25	"0"
"acs"	"3"	3.1	8.85	0.3	46	0.34	NA	NA	12	"0"
"acs"	"3"	2.85	7.46	0.05	30	0.62	NA	NA	8	"0"
"ras"	"3"	2.35	0.75	0.67	50	NA	16	NA	31	"1"
